Sex,Marital status,Age,Income,Settlement size,id,Education_0,Education_1,Education_2,Education_3,Occupation_0,Occupation_1,Occupation_2
0,0,67,124670,2,1,False,False,True,False,False,True,False
1,1,22,150773,2,2,False,True,False,False,False,True,False
0,0,49,89210,0,3,False,True,False,False,True,False,False
0,0,45,171565,1,4,False,True,False,False,False,True,False
0,0,53,149031,1,5,False,True,False,False,False,True,False
0,0,35,144848,0,6,False,True,False,False,True,False,False
0,0,53,156495,1,7,False,True,False,False,False,True,False
0,0,35,193621,1,8,False,True,False,False,False,False,True
0,1,61,151591,0,9,False,False,True,False,True,False,False
0,1,28,174646,0,10,False,True,False,False,False,False,True
1,1,25,108469,0,11,False,True,False,False,False,True,False
1,1,24,127596,0,12,False,True,False,False,False,True,False
1,1,22,108687,2,13,False,True,False,False,False,True,False
0,0,60,89374,0,14,False,False,True,False,True,False,False
1,1,28,102899,1,15,False,True,False,False,False,True,False
1,1,32,88428,0,16,False,True,False,False,True,False,False
0,0,53,125550,0,17,False,True,False,False,False,True,False
0,0,25,157434,2,18,True,False,False,False,False,True,False
1,1,44,261952,2,19,False,False,True,False,False,False,True
0,0,31,144657,1,20,True,False,False,False,False,True,False
0,0,48,118777,1,21,False,True,False,False,False,True,False
0,0,44,147511,1,22,False,True,False,False,False,True,False
0,0,48,89804,0,23,False,True,False,False,True,False,False
0,0,44,134918,2,24,False,True,False,False,False,True,False
0,1,26,103667,2,25,False,True,False,False,False,True,False
0,0,36,71909,0,26,False,True,False,False,True,False,False
0,1,39,68264,0,27,False,True,False,False,True,False,False
1,1,42,163025,1,28,False,False,True,False,False,True,False
0,0,34,119307,1,29,False,True,False,False,False,True,False
0,0,63,175882,0,30,False,False,True,False,False,True,False
0,1,36,159646,1,31,False,True,False,False,False,True,False
0,0,27,120131,1,32,True,False,False,False,False,True,False
0,0,30,162745,2,33,True,False,False,False,False,True,False
0,0,57,87605,0,34,False,False,True,False,True,False,False
1,1,33,155569,1,35,False,True,False,False,False,False,True
0,0,25,104505,0,36,True,False,False,False,True,False,False
0,0,31,143385,2,37,True,False,False,False,False,True,False
0,0,37,127676,1,38,False,True,False,False,False,True,False
0,0,37,119276,1,39,False,True,False,False,False,True,False
0,0,24,92542,1,40,True,False,False,False,False,True,False
0,0,30,163329,1,41,True,False,False,False,False,False,True
0,1,26,130921,0,42,False,True,False,False,False,True,False
0,0,44,133658,0,43,False,True,False,False,True,False,False
0,1,24,155104,1,44,False,True,False,False,False,True,False
1,1,58,142335,1,45,False,False,True,False,True,False,False
1,1,35,138387,1,46,False,True,False,False,False,False,True
0,0,39,140182,0,47,False,True,False,False,False,True,False
1,1,23,65421,0,48,False,True,False,False,True,False,False
0,0,39,130500,0,49,False,True,False,False,True,False,False
1,1,28,122831,0,50,False,True,False,False,False,True,False
0,0,29,84531,0,51,True,False,False,False,True,False,False
0,0,30,180196,2,52,True,False,False,False,False,False,True
0,0,25,92058,2,53,True,False,False,False,False,True,False
0,0,31,117158,0,54,True,False,False,False,False,True,False
0,0,57,135830,1,55,False,False,True,False,False,True,False
0,0,26,58258,0,56,True,False,False,False,True,False,False
0,0,52,202575,2,57,False,True,False,False,False,False,True
1,1,31,183657,1,58,False,True,False,False,False,True,False
1,1,23,152267,1,59,False,True,False,False,False,False,True
1,1,23,115240,0,60,False,True,False,False,True,False,False
0,1,27,106955,2,61,False,True,False,False,False,True,False
0,0,50,123641,1,62,False,True,False,False,False,True,False
0,0,61,166410,1,63,False,False,True,False,False,False,True
0,0,25,227385,2,64,True,False,False,False,False,True,False
1,1,26,118372,1,65,False,True,False,False,False,True,False
0,0,48,148115,1,66,False,True,False,False,False,True,False
1,1,29,111069,0,67,False,True,False,False,False,True,False
0,1,22,139780,0,68,False,True,False,False,False,True,False
0,0,37,106978,2,69,False,True,False,False,False,True,False
1,1,25,110019,2,70,False,True,False,False,False,True,False
1,1,30,169102,1,71,False,True,False,False,False,True,False
0,0,46,73703,0,72,False,True,False,False,True,False,False
0,0,51,141858,2,73,False,True,False,False,False,False,True
1,1,41,135959,0,74,False,False,True,False,True,False,False
0,0,40,140888,2,75,False,True,False,False,False,False,True
0,0,66,157299,2,76,False,False,True,False,False,False,True
0,0,34,125187,1,77,False,True,False,False,False,True,False
0,0,51,155486,2,78,False,True,False,False,False,True,False
0,0,39,151697,0,79,False,True,False,False,True,False,False
0,1,22,126400,1,80,False,True,False,False,False,True,False
1,1,44,159246,2,81,False,False,True,False,False,True,False
0,0,47,136138,1,82,False,True,False,False,False,True,False
1,1,24,84792,0,83,False,True,False,False,True,False,False
1,1,58,100210,0,84,False,False,True,False,True,False,False
0,0,52,93706,0,85,False,True,False,False,True,False,False
1,1,29,133783,1,86,False,True,False,False,False,False,True
1,1,27,110064,2,87,False,True,False,False,False,True,False
0,0,47,241068,1,88,False,True,False,False,False,True,False
0,0,30,149022,2,89,True,False,False,False,False,False,True
0,0,28,92973,2,90,True,False,False,False,False,True,False
0,0,56,110605,1,91,False,True,False,False,False,True,False
0,0,54,116604,1,92,False,True,False,False,False,True,False
1,1,33,71070,0,93,False,True,False,False,True,False,False
0,0,20,128678,1,94,True,False,False,False,False,True,False
0,0,54,165230,2,95,False,True,False,False,False,True,False
0,0,58,268340,1,96,False,False,True,False,False,True,False
1,1,61,135070,1,97,False,False,True,False,False,True,False
0,0,34,134794,2,98,False,True,False,False,False,True,False
0,0,36,120153,1,99,False,True,False,False,False,True,False
0,0,36,195465,2,100,False,True,False,False,False,False,True
0,1,41,93372,0,101,False,True,False,False,True,False,False
0,0,24,110446,0,102,True,False,False,False,False,True,False
1,1,24,95186,1,103,False,True,False,False,False,True,False
0,0,35,115343,1,104,False,True,False,False,False,True,False
0,1,26,107276,1,105,False,True,False,False,False,True,False
0,0,39,244716,2,106,False,True,False,False,False,False,True
0,0,39,183108,2,107,False,True,False,False,False,False,True
0,0,32,152876,2,108,True,False,False,False,False,True,False
1,1,30,165147,0,109,False,True,False,False,False,True,False
0,1,35,140520,0,110,False,True,False,False,False,True,False
0,1,31,124203,1,111,False,True,False,False,False,True,False
1,1,23,107205,1,112,False,True,False,False,False,True,False
0,0,28,121432,2,113,True,False,False,False,True,False,False
1,1,25,162445,0,114,False,True,False,False,False,True,False
